ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
jmetal.problems.singleObjective.Sphere;6;0;2;2;0;0;0;0;0;0;4;20;0;0;2;0;2;0;0;0;1;0;2;1;0;0;6;0;1;2;
jmetal.metaheuristics.fastPGA.FastPGA;5;0;5;3;0;0;1;0;0;0;9;62;0;0;2;0;2;0;0;0;0;0;1;0;0;0;7;0;1;4;
jmetal.experiments.settings.MOCHC_Settings;1;1;0;0;0;0;0;0;0;1;1;62;7;0;3;0;3;0;0;0;1;0;1;1;0;0;11;0;0;1;
jmetal.util.offspring.BLXAlphaCrossoverAndPolynomialMutation;7;2;1;0;0;0;0;0;0;2;3;30;7;0;3;1;2;0;0;0;0;4;3;0;0;0;10;0;0;1;
jmetal.experiments.util.RunExperiment;7;3;4;0;0;0;1;0;0;3;8;40;19;0;2;0;2;0;0;0;0;3;2;1;1;0;10;0;1;4;
jmetal.experiments.settings.NSGAIIPermutation_Settings;1;1;0;0;0;0;0;0;0;1;1;42;4;0;3;0;3;0;0;0;1;0;1;1;0;0;14;0;0;1;
jmetal.metaheuristics.moead.Utils;2;0;3;4;0;0;2;0;0;0;9;27;0;0;3;0;3;3;0;0;0;5;3;3;0;3;0;0;2;3;
jmetal.util.comparators.EqualSolutions;1;0;9;1;0;0;0;0;0;0;10;27;0;0;1;0;1;0;0;0;0;0;2;2;0;0;2;0;3;3;
jmetal.util.offspring.NonUniformMutationOffspring;5;1;0;0;0;0;0;0;0;1;1;16;5;0;3;0;3;0;0;0;0;3;1;0;0;0;6;0;0;1;
jmetal.problems.Poloni;5;0;2;1;0;0;0;0;0;0;3;22;0;0;2;0;2;0;0;0;1;0;1;0;0;0;6;0;1;2;
jmetal.util.comparators.FPGAFitnessComparator;1;0;4;0;0;0;0;0;0;0;4;11;0;0;1;0;1;0;0;0;0;0;2;2;0;0;2;0;1;4;
jmetal.util.offspring.Offspring;10;0;0;0;0;0;0;0;0;0;0;23;1;0;13;0;13;0;0;0;0;6;18;2;0;2;5;0;0;0;
jmetal.metaheuristics.singleObjective.geneticAlgorithm.gGA;5;0;1;3;0;0;1;0;0;0;5;42;0;0;2;0;2;0;0;0;0;0;1;0;0;0;4;0;1;2;
jmetal.metaheuristics.smpso.SMPSO;7;1;8;14;0;0;1;0;0;1;24;148;31;0;12;6;6;0;0;0;2;13;6;3;1;2;16;0;5;3;
jmetal.problems.cec2009Competition.UF8;6;0;4;3;0;0;0;0;0;0;7;40;0;0;3;0;3;0;0;0;2;0;2;1;0;0;6;0;2;3;
jmetal.test.experiments.settings.RandomSearch_SettingsTest;0;0;0;0;0;0;0;0;0;0;0;4;1;0;3;0;3;0;0;0;0;0;0;0;0;0;12;0;0;0;
jmetal.problems.cec2009Competition.UF7;6;0;3;3;0;0;0;0;0;0;6;35;0;0;3;0;3;0;0;0;2;0;2;1;0;0;6;0;2;2;
jmetal.operators.mutation.Mutation;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;2;0;0;0;
jmetal.util.comparators.CrowdingDistanceComparator;1;0;4;0;0;0;0;0;0;0;4;9;0;0;1;0;1;0;0;0;0;0;2;2;0;0;2;0;1;2;
jmetal.util.PropUtils;2;0;5;4;1;0;0;0;0;0;10;42;2;0;9;0;9;9;0;0;6;0;8;8;0;1;5;0;4;3;
jmetal.problems.cec2009Competition.UF9;6;0;5;3;0;0;0;0;0;0;8;44;1;0;3;0;3;0;0;0;2;1;2;1;0;0;6;0;2;3;
jmetal.experiments.util.Pareja;1;0;2;0;0;0;0;0;0;0;2;7;2;0;3;0;3;0;0;0;0;2;1;1;0;0;0;0;1;2;
jmetal.core.SolutionSet;7;4;17;9;4;0;0;0;0;4;34;115;2;0;25;0;24;0;0;0;4;6;9;5;0;0;3;1;6;4;
jmetal.problems.Tanaka;5;0;3;2;0;0;0;0;0;0;5;29;0;0;3;0;3;0;0;0;1;0;2;0;0;0;6;0;2;2;
jmetal.problems.cec2009Competition.UF2;6;0;3;3;0;0;0;0;0;0;6;35;0;0;3;0;3;0;0;0;2;0;2;1;0;0;6;0;2;2;
jmetal.operators.mutation.BitFlipMutation;7;1;5;4;0;0;0;0;0;1;10;25;2;0;3;0;3;0;0;0;0;1;3;2;1;0;11;2;1;4;
jmetal.util.Permutation;0;0;1;3;0;0;0;0;0;0;4;16;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;3;
jmetal.problems.cec2009Competition.UF1;6;0;3;3;0;0;0;0;0;0;6;35;0;0;3;0;3;0;0;0;2;0;2;1;0;0;6;0;2;2;
jmetal.problems.cec2009Competition.UF4;6;0;3;3;0;0;0;0;0;0;6;35;0;0;3;0;3;0;0;0;2;0;2;1;0;0;6;0;2;2;
jmetal.problems.cec2009Competition.UF3;6;0;3;3;0;0;0;0;0;0;6;36;0;0;3;0;3;0;0;0;2;0;2;1;0;0;6;0;2;2;
jmetal.metaheuristics.singleObjective.geneticAlgorithm.scGA;5;0;2;2;0;0;1;0;0;0;5;41;0;0;2;0;2;0;0;0;0;0;1;0;0;0;7;0;1;3;
