ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.objectweb.asm.tree.LineNumberNode;27;0;0;0;0;0;0;0;0;0;0;6;2;0;4;0;4;0;0;0;0;1;3;1;1;0;2;0;0;0;
org.objectweb.asm.tree.AnnotationNode;3;0;14;2;0;0;0;0;0;0;16;44;2;0;11;0;9;1;0;0;10;2;5;3;1;0;4;0;2;5;
org.objectweb.asm.tree.analysis.AnalyzerException;31;0;0;0;0;0;0;0;0;0;0;6;1;0;3;0;3;0;0;0;3;0;6;2;0;0;1;0;0;0;
org.objectweb.asm.optimizer.AnnotationConstantsCollector;27;0;17;8;0;0;0;0;0;0;25;61;1;0;6;0;6;0;0;0;7;0;3;1;0;0;3;0;1;14;
org.objectweb.asm.commons.RemappingSignatureAdapter;10;0;0;0;0;0;0;0;0;0;0;31;3;0;18;0;17;0;0;0;4;3;4;0;0;0;2;0;0;0;
org.objectweb.asm.optimizer.FieldConstantsCollector;28;0;2;0;0;0;0;0;0;0;2;14;1;0;5;0;5;0;0;0;2;3;4;0;0;0;5;0;0;1;
org.objectweb.asm.ClassVisitor;25;0;12;0;0;0;0;0;0;0;12;31;2;0;12;0;12;0;0;0;19;10;6;3;0;2;0;2;0;1;
org.objectweb.asm.tree.MethodInsnNode;26;0;0;0;0;0;0;0;0;0;0;8;3;0;5;0;5;0;0;0;3;2;2;1;1;0;2;0;0;0;
org.objectweb.asm.util.TraceSignatureVisitor;1;0;13;0;0;0;1;9;1;0;23;119;11;0;24;4;20;0;0;0;4;3;1;1;0;0;2;0;3;2;
org.objectweb.asm.FieldVisitor;26;0;6;0;0;0;0;0;0;0;6;17;2;0;6;0;6;0;0;0;2;5;3;0;0;0;0;2;0;1;
org.objectweb.asm.commons.CodeSizeEvaluator;25;0;20;0;0;0;0;0;0;0;20;76;2;0;17;0;16;0;0;0;10;15;11;4;0;2;4;0;1;2;
org.objectweb.asm.Handler;26;0;5;0;0;0;0;0;0;0;5;19;6;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;1;3;
org.objectweb.asm.tree.LdcInsnNode;26;0;0;0;0;0;0;0;0;0;0;6;1;0;4;0;4;0;0;0;0;0;3;2;1;0;3;0;0;0;
org.objectweb.asm.tree.TypeInsnNode;26;0;0;0;0;0;0;0;0;0;0;7;1;0;5;0;5;0;0;0;1;2;2;1;1;0;2;0;0;0;
org.objectweb.asm.ClassReader;25;1;145;69;0;0;15;145;13;0;374;1079;14;0;39;16;21;1;0;0;3;36;39;20;0;18;2;2;45;15;
org.objectweb.asm.commons.GeneratorAdapter;32;0;43;9;0;0;1;49;7;0;102;365;39;0;84;8;74;2;0;0;14;34;69;5;0;4;9;3;7;10;
org.objectweb.asm.signature.SignatureWriter;0;0;8;0;0;0;0;0;0;0;8;56;4;0;20;2;18;0;0;0;4;2;0;0;0;0;1;0;0;1;
org.objectweb.asm.util.CheckAnnotationAdapter;2;0;9;0;0;0;0;0;0;0;9;34;2;0;9;2;6;0;0;0;8;1;3;1;0;0;3;5;1;2;
org.objectweb.asm.tree.analysis.Interpreter;36;0;0;0;0;0;0;0;0;0;0;1;1;0;10;0;9;0;0;0;0;1;20;1;1;0;3;0;0;0;
org.objectweb.asm.optimizer.NameMapping;7;1;7;2;0;0;0;0;0;0;9;30;2;0;4;1;3;0;0;0;3;0;1;0;0;0;8;0;3;3;
org.objectweb.asm.optimizer.MethodConstantsCollector;27;0;9;0;0;0;0;0;0;0;9;65;1;0;19;0;19;0;0;0;21;20;18;5;0;3;6;0;0;1;
org.objectweb.asm.tree.LocalVariableAnnotationNode;26;0;0;1;1;0;0;0;0;0;2;15;3;0;3;0;3;0;0;0;2;4;9;6;0;6;8;0;0;1;
org.objectweb.asm.commons.LocalVariablesSorter;30;0;15;4;0;0;0;19;2;0;38;113;6;0;14;2;8;0;0;0;6;18;16;7;0;6;6;1;2;7;
org.objectweb.asm.tree.TableSwitchInsnNode;27;0;1;1;0;0;0;0;0;0;2;14;4;0;4;0;4;0;0;0;0;2;4;1;1;0;7;0;0;1;
org.objectweb.asm.commons.AdviceAdapter;25;0;29;4;0;0;0;148;6;0;181;335;8;0;23;5;15;0;0;0;13;15;18;6;0;3;9;0;9;3;
org.objectweb.asm.util.TraceClassVisitor;29;0;1;0;0;0;0;0;0;0;1;24;2;0;13;0;13;0;0;0;19;8;11;6;0;2;8;0;0;1;
org.objectweb.asm.Frame;25;0;59;7;0;0;2;193;5;0;261;597;33;0;14;11;0;2;0;0;3;14;11;2;0;2;0;1;16;5;
org.objectweb.asm.optimizer.ClassOptimizer;32;0;10;0;0;0;0;0;0;0;10;31;3;0;12;0;10;0;0;0;22;10;8;3;0;2;9;2;2;2;
org.objectweb.asm.commons.JSRInlinerAdapter;35;0;42;11;0;0;4;11;1;0;68;163;8;0;16;6;8;1;0;1;7;7;19;11;3;2;23;3;9;4;
org.objectweb.asm.tree.FrameNode;27;0;5;3;0;0;0;12;2;0;20;61;3;0;7;3;4;2;0;0;0;4;6;5;2;3;6;0;3;3;
org.objectweb.asm.commons.RemappingClassAdapter;33;0;0;0;0;0;0;0;0;0;0;14;2;0;12;0;8;0;0;0;18;10;11;3;0;2;6;0;0;0;
org.objectweb.asm.AnnotationWriter;26;0;20;10;0;0;5;12;1;0;47;137;8;0;10;0;5;2;0;0;7;4;9;2;0;1;0;0;2;15;
org.objectweb.asm.commons.AnalyzerAdapter;26;0;54;7;0;0;1;180;4;0;242;571;7;0;27;9;17;1;0;0;19;28;18;10;1;5;9;4;9;8;
org.objectweb.asm.xml.SAXFieldAdapter;5;0;0;0;0;0;0;0;0;0;0;6;1;0;4;0;4;0;0;0;2;3;3;1;0;0;5;0;0;0;
