ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.asynchttpclient.util.AuthenticatorUtils;10;0;5;0;0;0;0;0;0;0;5;27;0;0;7;2;5;7;0;0;4;3;7;2;0;0;7;0;0;1;
org.asynchttpclient.ws.WebSocketUpgradeHandler;33;0;7;0;4;0;0;0;0;0;11;39;6;0;13;0;13;0;0;1;1;1;10;3;1;0;13;2;3;2;
org.asynchttpclient.oauth.ConsumerKey;2;0;3;0;0;0;0;0;0;0;3;20;2;0;7;1;6;0;0;0;3;0;2;2;0;0;0;0;0;1;
org.asynchttpclient.handler.resumable.ResumableIOExceptionFilter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;4;0;0;0;
org.asynchttpclient.netty.NettyAsyncHttpProvider;26;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;0;0;3;0;1;0;5;3;0;0;
org.asynchttpclient.simple.consumer.AppendableBodyConsumer;3;0;1;0;0;0;0;0;0;0;1;7;2;0;4;0;4;0;0;0;0;0;4;4;0;0;5;0;0;1;
org.asynchttpclient.cookie.CookieDecoder;0;1;29;3;0;0;2;0;0;1;35;93;18;0;11;7;4;1;0;1;4;23;0;0;0;0;4;1;6;6;
org.asynchttpclient.FluentStringsMap;7;0;25;0;11;0;0;0;0;0;36;97;1;0;34;0;34;0;0;0;14;0;16;13;8;0;10;1;12;4;
org.asynchttpclient.ws.DefaultWebSocketListener;3;0;0;0;0;0;0;0;0;0;0;2;1;0;7;0;7;0;0;0;1;0;6;4;0;3;0;0;0;0;
org.asynchttpclient.Realm;8;1;33;2;3;0;0;0;0;1;39;228;43;0;77;11;65;2;1;1;31;8;20;15;0;2;10;3;5;2;
org.asynchttpclient.internal.chmv8.ForkJoinPool;18;16;257;38;2;14;11;0;0;11;333;801;91;5;99;18;40;12;2;4;1;21;57;16;22;2;14;16;46;10;
org.asynchttpclient.util.ProxyUtils;27;2;13;0;3;0;0;3;1;2;21;50;8;0;11;2;9;8;2;0;3;0;10;2;0;0;16;1;5;4;
org.asynchttpclient.util.HttpUtils;2;0;0;0;0;0;0;0;0;0;0;4;4;0;5;1;4;4;0;0;2;0;2;0;0;0;1;0;0;0;
org.asynchttpclient.ntlm.NtlmEngine;2;10;59;4;1;0;4;0;0;10;78;470;69;2;83;21;24;25;0;7;34;30;43;43;0;43;11;23;10;3;
org.asynchttpclient.HttpResponseBodyPart;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;0;0;0;0;1;1;0;0;4;0;0;0;
org.asynchttpclient.handler.BodyDeferringAsyncHandler;33;6;4;0;0;0;0;0;0;4;8;54;9;0;12;0;11;0;0;1;0;0;8;4;1;0;15;3;0;1;
org.asynchttpclient.handler.resumable.ResumableAsyncHandler;36;1;13;0;1;0;0;0;0;1;15;62;12;0;25;1;24;0;0;3;2;7;15;3;4;0;17;0;1;2;
org.asynchttpclient.config.AsyncHttpClientConfigBean;19;0;3;0;0;0;0;0;0;0;3;91;0;0;34;0;31;0;1;0;1;17;12;5;1;0;26;0;1;2;
org.asynchttpclient.BoundRequestBuilder;17;0;0;0;0;0;0;0;0;0;0;23;1;0;21;0;21;0;0;0;12;1;13;5;4;1;9;0;0;0;
org.asynchttpclient.oauth.ThreadSafeHMAC;5;1;0;0;0;0;0;0;0;1;1;10;2;0;2;0;2;0;0;0;0;0;3;1;0;0;6;1;0;1;
org.asynchttpclient.simple.HeaderMap;7;0;0;0;0;0;0;0;0;0;0;15;1;0;15;0;15;0;0;0;4;0;7;6;2;0;5;4;0;0;
org.asynchttpclient.oauth.OAuthSignatureCalculator;9;0;16;0;3;0;0;0;0;0;19;81;16;0;20;3;13;0;1;2;11;5;15;7;7;0;15;0;4;3;
org.asynchttpclient.proxy.ProxyServer;3;0;0;0;0;0;0;0;0;0;0;34;12;0;25;0;25;0;0;0;12;5;4;1;0;0;7;0;0;0;
org.asynchttpclient.extra.ResumableRandomAccessFileListener;2;1;1;0;0;0;0;0;0;1;2;11;1;0;4;0;4;0;0;0;0;0;2;2;0;0;5;0;0;1;
org.asynchttpclient.cookie.Cookie;0;0;13;2;0;0;0;14;2;0;29;78;8;0;12;1;11;2;0;0;10;8;0;0;0;0;0;7;2;2;
org.asynchttpclient.Param;1;0;9;0;0;0;0;0;0;0;9;24;2;0;5;0;5;0;0;0;2;0;1;1;0;0;5;0;2;2;
org.asynchttpclient.request.body.generator.InputStreamBodyGenerator;2;1;6;0;0;0;0;0;0;1;7;30;9;0;8;1;7;0;0;1;0;1;3;3;0;0;6;0;1;4;
