ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
net.sf.javaml.clustering.evaluation.BICScore;1;0;0;1;0;0;0;0;0;0;1;5;0;0;2;0;2;0;0;0;0;2;1;1;0;1;2;0;0;1;
net.sf.javaml.classification.bayes.KDependentBayesClassifier;9;0;21;11;8;0;6;0;0;0;46;141;4;0;17;4;8;0;0;0;0;12;14;10;4;1;11;0;9;6;
net.sf.javaml.distance.fastdtw.lang.TypeConversions;0;0;0;1;0;0;0;0;0;0;1;5;0;0;3;0;3;2;0;0;0;2;0;0;0;0;0;0;0;1;
net.sf.javaml.distance.CosineDistance;1;0;1;0;0;0;0;0;0;0;1;3;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;1;0;1;
net.sf.javaml.distance.PearsonCorrelationCoefficient;1;0;1;1;0;0;0;0;0;0;2;10;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;1;0;1;
net.sf.javaml.distance.CachedDistance;2;0;1;0;0;0;0;0;0;0;1;8;3;0;5;0;5;0;0;0;0;2;3;0;0;0;3;0;0;1;
net.sf.javaml.clustering.evaluation.SumOfCentroidSimilarities;1;0;0;3;0;0;0;0;0;0;3;10;1;0;2;0;2;0;0;0;0;2;1;1;0;1;5;0;1;2;
net.sf.javaml.classification.bayes.NaiveBayesClassifier;2;0;0;2;1;0;0;0;0;0;3;14;1;0;4;0;3;0;0;0;0;3;3;0;0;0;5;0;1;2;
tutorials.filter.TutorialRecursiveMinimalEntropyPartitioning;6;0;1;1;1;0;0;0;0;0;3;21;0;0;2;1;1;2;0;0;0;1;3;1;0;1;7;0;1;2;
tutorials.featureselection.TutorialWekaAttributeSelection;1;0;0;1;0;0;0;0;0;0;1;5;0;0;1;0;1;1;0;0;0;0;1;1;0;1;9;0;0;1;
net.sf.javaml.distance.fastdtw.dtw.FullWindow;7;0;0;1;0;0;0;0;0;0;1;5;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;
net.sf.javaml.featureselection.scoring.KullbackLeiblerDivergence;2;0;8;4;5;0;0;0;0;0;17;43;3;0;6;1;5;0;0;0;0;2;4;2;0;0;5;0;3;5;
net.sf.javaml.distance.fastdtw.dtw.SearchWindow;1;0;26;3;0;0;0;0;0;0;29;108;10;0;19;2;14;0;0;1;0;10;1;0;0;0;6;3;4;4;
net.sf.javaml.featureselection.ranking.RankingFromScoring;2;0;2;2;0;0;0;0;0;0;4;15;2;0;4;0;4;0;0;0;0;1;2;0;0;0;5;2;0;1;
net.sf.javaml.core.kdtree.HRect;3;0;3;4;0;0;0;0;0;0;7;30;2;0;8;0;1;1;0;0;0;2;4;0;0;0;0;0;2;3;
net.sf.javaml.clustering.mcl.SparseMatrix;7;0;5;17;6;0;0;0;0;0;28;97;2;0;28;1;27;0;0;0;0;18;9;1;0;1;2;0;6;4;
net.sf.javaml.clustering.IterativeMultiKMeans;3;0;1;2;0;0;0;0;0;0;3;15;4;0;4;0;4;0;0;0;0;6;5;0;0;0;4;0;1;3;
